date_time,FID,uuid,gps_lat,gps_lon,gps_alt,url
2017-10-13 13:05:39,12877,2503270a13156b960939ad423d4388ad53af7333,18.0056166667,-66.5803533333,294.0,http://fema-cap-imagery.s3-website-us-east-1.amazonaws.com/Images/9075/614109/DSC_0002_5691ee5f-d422-48eb-afb9-f2b70fd0de5c.jpg
2017-10-13 13:05:42,15814,2f956e99ade5395c494da3c1b5b8a175bcdd0e3f,18.00543,-66.5790683333,284.0,http://fema-cap-imagery.s3-website-us-east-1.amazonaws.com/Images/9075/614109/DSC_0003_43058503-bac4-4655-971b-66374c69d2a7.jpg
2017-10-13 13:05:44,39272,15fc4f2142c4355aef9bfbedbfdd9e99aa068e46,18.00531,-66.57823,282.0,http://fema-cap-imagery.s3-website-us-east-1.amazonaws.com/Images/9075/614109/DSC_0004_34191577-30cf-40c1-a6b0-d3d84796316d.jpg
2017-10-13 13:05:46,36423,fce709f4b8f07f2d82377beac75665ef8a9a64de,18.0051933333,-66.5774083333,279.0,http://fema-cap-imagery.s3-website-us-east-1.amazonaws.com/Images/9075/614109/DSC_0005_5437d69a-81a7-4c87-a54c-a47a62e02533.jpg
2017-10-13 13:05:49,42131,bc865150138500e26a07f79db79c846a54b0c133,18.0050016667,-66.57618000000001,274.0,http://fema-cap-imagery.s3-website-us-east-1.amazonaws.com/Images/9075/614109/DSC_0006_c4295777-fab7-43be-8f1a-2b1c402d0b40.jpg
2017-10-13 13:08:22,24667,8ad604788a0403db40e5db2ce381d9121f1a593a,18.007625,-66.5472166667,336.0,http://fema-cap-imagery.s3-website-us-east-1.amazonaws.com/Images/9075/614109/DSC_0043_a985eebe-6334-4916-848b-e236a9778b64.jpg
2017-10-13 13:08:26,4131,3c3a9a1ac97414c830d6f22ce115631a93b6fccd,18.0091816667,-66.54838000000001,337.0,http://fema-cap-imagery.s3-website-us-east-1.amazonaws.com/Images/9075/614109/DSC_0044_6957aa48-6337-4fbb-8500-77766f808d6d.jpg
2017-10-13 13:08:29,30534,14edefc6b6fe6ee64baf906a2da03943f986b42a,18.0101766667,-66.5494783333,333.0,http://fema-cap-imagery.s3-website-us-east-1.amazonaws.com/Images/9075/614109/DSC_0045_8e95875b-6f02-473a-a0bb-11976e012f4f.jpg
2017-10-13 13:08:32,24668,ca56049a2304d7cade2e6ecb69cf00a856c5b01b,18.0110016667,-66.5507233333,330.0,http://fema-cap-imagery.s3-website-us-east-1.amazonaws.com/Images/9075/614109/DSC_0046_a39c8a9e-0116-4abf-b1cf-b0869f5df354.jpg
2017-10-13 13:08:37,18820,8537eda12f7621ffceb6d27901d6df7cd084b708,18.0123483333,-66.5528233333,325.0,http://fema-cap-imagery.s3-website-us-east-1.amazonaws.com/Images/9075/614109/DSC_0047_be0c4da1-65c9-4571-bb95-fb5b3b6cde40.jpg
